Track_id,Position,Streams,Start_date,Track Name,Artist,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_pop,artist_followers,genres
000RW47rhEkSqjgTrZx7YX,"[15, 21, 24, 29, 45, 49, 54, 59, 66, 75, 74, 78, 105, 107, 111, 119, 131, 128, 142, 144, 145, 146, 159, 165, 158, 165]","[3435653, 3180293, 2984333, 2631003, 1893775, 1908249, 1692428, 1483135, 1351470, 1322402, 1296905, 1284562, 1100667, 1043902, 955146, 970293, 921454, 943362, 884161, 963811, 864232, 875389, 821735, 787711, 813481, 748720]","['2021-04-23', '2021-04-30', '2021-05-07', '2021-05-14', '2021-05-21', '2021-05-28', '2021-06-04', '2021-06-11', '2021-06-18', '2021-06-25', '2021-07-02', '2021-07-09', '2021-07-16', '2021-07-23', '2021-07-30', '2021-08-06', '2021-08-13', '2021-08-20', '2021-08-27', '2021-09-03', '2021-09-10', '2021-09-17', '2021-09-24', '2021-10-01', '2021-10-08', '2021-10-15']",Lance Individual,Jorge & Mateus,Brazil,0.752,0.62,5,-5.536,1,0.0509,0.309,0.0,0.075,0.962,117.399,audio_features,000RW47rhEkSqjgTrZx7YX,spotify:track:000RW47rhEkSqjgTrZx7YX,https://api.spotify.com/v1/tracks/000RW47rhEkSqjgTrZx7YX,https://api.spotify.com/v1/audio-analysis/000RW47rhEkSqjgTrZx7YX,164459,4,79,16768677,"arrocha,sertanejo,sertanejo_universitario"
000xQL6tZNLJzIrtIgxqSl,"[70, 81, 96, 127, 107, 109, 138, 138, 143, 144, 179]","[512350, 453841, 397589, 330869, 372314, 375801, 335186, 344843, 339803, 347540, 293796]","['2017-03-24', '2017-03-31', '2017-04-07', '2017-04-14', '2017-04-21', '2017-04-28', '2017-05-05', '2017-05-12', '2017-05-19', '2017-05-26', '2017-06-02']",Still Got Time (feat. PARTYNEXTDOOR),ZAYN,Brazil,0.748,0.627,7,-6.029,1,0.0639,0.131,0.0,0.0852,0.524,120.963,audio_features,000xQL6tZNLJzIrtIgxqSl,spotify:track:000xQL6tZNLJzIrtIgxqSl,https://api.spotify.com/v1/tracks/000xQL6tZNLJzIrtIgxqSl,https://api.spotify.com/v1/audio-analysis/000xQL6tZNLJzIrtIgxqSl,188491,4,75,20384507,"dance_pop,electropop,pop,post-teen_pop,uk_pop"
000xYdQfIZ4pDmBGzQalKU,"[15, 15, 19, 22, 22, 27, 29, 30, 29, 42, 59, 64, 65, 79, 109, 119, 125, 144, 163, 181, 191]","[1171345, 1103346, 997532, 941851, 890948, 871162, 844777, 812243, 809718, 711477, 579214, 564739, 515694, 492837, 376189, 349379, 333267, 316246, 295759, 274984, 271016]","['2016-12-23', '2016-12-30', '2017-01-06', '2017-01-13', '2017-01-20', '2017-01-27', '2017-02-03', '2017-02-10', '2017-02-17', '2017-02-24', '2017-03-03', '2017-03-10', '2017-03-17', '2017-03-24', '2017-03-31', '2017-04-07', '2017-04-14', '2017-04-21', '2017-04-28', '2017-05-05', '2017-05-12']","Eu, Você, O Mar e Ela",Luan Santana,Brazil,0.509,0.803,0,-6.743,1,0.04,0.684,0.000539,0.463,0.651,166.018,audio_features,000xYdQfIZ4pDmBGzQalKU,spotify:track:000xYdQfIZ4pDmBGzQalKU,https://api.spotify.com/v1/tracks/000xYdQfIZ4pDmBGzQalKU,https://api.spotify.com/v1/audio-analysis/000xYdQfIZ4pDmBGzQalKU,187119,4,75,6165423,"arrocha,sertanejo,sertanejo_pop,sertanejo_universitario"
006pMMCuRo2TFjh8sNGSov,[196],[323207],['2017-09-29'],"Dias De Luta, Dias De Gloria",Charlie Brown Jr.,Brazil,0.346,0.433,3,-10.602,0,0.065,0.888,0.0,0.101,0.768,77.963,audio_features,006pMMCuRo2TFjh8sNGSov,spotify:track:006pMMCuRo2TFjh8sNGSov,https://api.spotify.com/v1/tracks/006pMMCuRo2TFjh8sNGSov,https://api.spotify.com/v1/audio-analysis/006pMMCuRo2TFjh8sNGSov,145467,3,70,5571922,"brazilian_rock,hard_rock_brasileiro,rock_alternativo_brasileiro,rock_nacional_brasileiro"
00ikK805fq2xrYmlCsbTQi,[165],[619431],['2020-03-13'],Como É Que Vamos Fazer?,Jey,Brazil,0.876,0.803,1,-4.266,1,0.14,0.113,0.0,0.0509,0.68,98.014,audio_features,00ikK805fq2xrYmlCsbTQi,spotify:track:00ikK805fq2xrYmlCsbTQi,https://api.spotify.com/v1/tracks/00ikK805fq2xrYmlCsbTQi,https://api.spotify.com/v1/audio-analysis/00ikK805fq2xrYmlCsbTQi,171537,4,13,12625,unknown
00zzSEe82JTtz68XlARnh7,"[186, 105, 48, 15, 5, 2, 1, 2, 4, 4, 4, 4, 5, 6, 10, 12, 13, 18, 19, 21, 19, 20, 22, 29, 32, 35, 108, 118, 141, 155, 171, 179, 195, 168, 180, 151, 139, 200]","[379574, 637374, 1111982, 2059517, 2931659, 3415706, 3919392, 3575413, 3411210, 3197829, 3046799, 2840832, 2830032, 2866229, 2477525, 2299559, 2117478, 1984066, 1777543, 1607379, 1777543, 1576940, 1563006, 1361908, 1377788, 1271376, 653512, 594789, 543752, 514698, 487142, 494712, 441405, 524802, 512516, 580566, 635781, 446000]","['2018-04-13', '2018-04-20', '2018-04-27', '2018-05-04', '2018-05-11', '2018-05-18', '2018-05-25', '2018-06-01', '2018-06-08', '2018-06-15', '2018-06-22', '2018-06-29', '2018-07-06', '2018-07-13', '2018-07-20', '2018-07-27', '2018-08-03', '2018-08-10', '2018-08-17', '2018-08-31', '2018-08-17', '2018-08-24', '2018-09-07', '2018-09-14', '2018-09-21', '2018-09-28', '2018-10-05', '2018-10-12', '2018-10-19', '2018-10-26', '2018-11-02', '2018-11-09', '2018-11-16', '2018-12-07', '2018-12-14', '2018-12-21', '2018-12-28', '2019-01-04']",Amor Falso,Aldair Playboy,Brazil,0.767,0.55,4,-11.498,1,0.0554,0.279,0.0,0.0548,0.9,153.963,audio_features,00zzSEe82JTtz68XlARnh7,spotify:track:00zzSEe82JTtz68XlARnh7,https://api.spotify.com/v1/tracks/00zzSEe82JTtz68XlARnh7,https://api.spotify.com/v1/audio-analysis/00zzSEe82JTtz68XlARnh7,177816,4,47,519455,"batidao_romantico,brega_funk,brega_romantico,forro_de_favela,funk_carioca"
017PF4Q3l4DBUiWoXk4OWT,"[15, 31, 28, 25, 20, 30, 32, 37, 37, 48, 46, 47, 50, 52, 58, 64, 67, 73, 75, 75, 75, 81, 92, 104, 99, 121, 128, 131, 146, 145, 149, 163, 151, 153, 163, 146, 143, 161, 174, 200, 174, 166, 175, 185, 199, 200, 192, 189, 200]","[2398144, 1646562, 1625549, 1709333, 1905088, 1623880, 1628635, 1533386, 1479925, 1391833, 1398190, 1385907, 1331988, 1180933, 1149958, 1114178, 1078482, 973792, 965685, 983516, 950239, 886490, 922438, 876963, 882824, 807213, 772607, 763512, 700115, 724672, 721275, 673993, 696628, 682571, 721837, 769423, 772123, 752941, 766370, 680836, 678978, 708766, 675685, 656725, 630073, 612195, 654755, 619028, 567190]","['2020-03-27', '2020-04-03', '2020-04-10', '2020-04-17', '2020-04-24', '2020-05-01', '2020-05-08', '2020-05-15', '2020-05-22', '2020-05-29', '2020-06-05', '2020-06-12', '2020-06-19', '2020-06-26', '2020-07-03', '2020-07-10', '2020-07-17', '2020-07-24', '2020-07-31', '2020-08-07', '2020-08-14', '2020-08-21', '2020-08-28', '2020-09-04', '2020-09-11', '2020-09-18', '2020-09-25', '2020-10-02', '2020-10-09', '2020-10-16', '2020-10-23', '2020-10-30', '2020-11-06', '2020-11-13', '2020-11-20', '2020-11-27', '2020-12-04', '2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']",Break My Heart,Dua Lipa,Brazil,0.73,0.729,4,-3.434,0,0.0884,0.167,1.39e-06,0.349,0.467,113.011,audio_features,017PF4Q3l4DBUiWoXk4OWT,spotify:track:017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/tracks/017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/audio-analysis/017PF4Q3l4DBUiWoXk4OWT,221820,4,88,34547210,"dance_pop,pop,uk_pop"
01TYBVirOZoaY5Uw2kLGwp,"[33, 18, 24, 24, 19]","[1242387, 1554774, 1430370, 1340606, 1512364]","['2018-03-09', '2018-03-16', '2018-03-23', '2018-03-30', '2018-04-06']",A Culpa É Dele,Marília Mendonça,Brazil,0.838,0.602,7,-5.973,1,0.182,0.627,0.0,0.139,0.729,125.927,audio_features,01TYBVirOZoaY5Uw2kLGwp,spotify:track:01TYBVirOZoaY5Uw2kLGwp,https://api.spotify.com/v1/tracks/01TYBVirOZoaY5Uw2kLGwp,https://api.spotify.com/v1/audio-analysis/01TYBVirOZoaY5Uw2kLGwp,176722,4,81,24879617,"arrocha,sertanejo"
01mKvmXQLhr3MEoiAEAcP2,"[52, 45, 34, 29, 35, 38, 39, 40, 40, 40, 42, 46, 49, 56, 53, 62, 66, 60, 80, 87, 89, 91, 95, 95, 108, 110, 114, 130, 156, 134, 166]","[1280750, 1582714, 1834585, 2005514, 1929691, 2015110, 2155680, 2126967, 1916537, 1955378, 1798333, 1739623, 1578755, 1501074, 1457443, 1293675, 1253306, 1456753, 1184471, 1106636, 1098719, 1258536, 1155165, 1074711, 922409, 918027, 901420, 826589, 717670, 803236, 664326]","['2020-07-24', '2020-07-31', '2020-08-07', '2020-08-14', '2020-08-21', '2020-08-28', '2020-09-04', '2020-09-11', '2020-09-18', '2020-09-25', '2020-10-02', '2020-10-09', '2020-10-16', '2020-10-23', '2020-10-30', '2020-11-06', '2020-11-13', '2020-11-20', '2020-11-27', '2020-12-04', '2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19']",Talarica,Rennan da Penha,Brazil,0.826,0.895,0,-4.828,0,0.49,0.22,0.0,0.0572,0.623,160.069,audio_features,01mKvmXQLhr3MEoiAEAcP2,spotify:track:01mKvmXQLhr3MEoiAEAcP2,https://api.spotify.com/v1/tracks/01mKvmXQLhr3MEoiAEAcP2,https://api.spotify.com/v1/audio-analysis/01mKvmXQLhr3MEoiAEAcP2,162000,4,53,158085,"funk_150_bpm,funk_carioca"
01wavOnjFBNgdMWBFYIAP4,"[200, 195, 190, 86, 78, 81, 75, 74, 62, 58, 55, 60, 66, 61, 57, 44, 49, 49, 53, 54, 53, 96, 106, 113, 112, 113, 114, 113, 118, 122, 115, 116, 135, 133, 140, 136, 143, 151, 161, 164, 159, 152, 151, 161, 171, 179, 190, 200, 191]","[474479, 476408, 470119, 844360, 847888, 902579, 869774, 923652, 1013527, 1051063, 1082436, 1108687, 1038343, 1076996, 1118502, 1432780, 1496960, 1316256, 1290426, 1296406, 1338445, 965538, 925296, 891986, 877176, 860659, 823480, 865323, 880405, 879768, 969693, 988930, 774186, 837555, 783996, 788039, 743875, 723981, 715299, 688986, 664985, 723503, 673983, 580536, 607443, 541136, 473957, 469149, 476572]","['2019-03-29', '2019-04-05', '2019-06-07', '2019-06-14', '2019-06-21', '2019-06-28', '2019-07-05', '2019-07-12', '2019-07-19', '2019-07-26', '2019-08-02', '2019-08-09', '2019-08-16', '2019-08-23', '2019-08-30', '2019-09-06', '2019-09-13', '2019-09-20', '2019-09-27', '2019-10-04', '2019-10-11', '2019-10-18', '2019-10-25', '2019-11-01', '2019-11-08', '2019-11-15', '2019-11-22', '2019-11-29', '2019-12-06', '2019-12-13', '2019-12-20', '2019-12-27', '2020-01-03', '2020-01-10', '2020-01-17', '2020-01-24', '2020-01-31', '2020-02-07', '2020-02-14', '2020-02-21', '2020-02-28', '2020-03-06', '2020-03-13', '2020-03-20', '2020-03-27', '2020-04-03', '2020-04-10', '2020-04-17', '2020-04-24']",50 Vezes - Ao Vivo,Sorriso Maroto,Brazil,0.561,0.65,7,-6.43,1,0.0277,0.816,1.61e-06,0.952,0.597,147.899,audio_features,01wavOnjFBNgdMWBFYIAP4,spotify:track:01wavOnjFBNgdMWBFYIAP4,https://api.spotify.com/v1/tracks/01wavOnjFBNgdMWBFYIAP4,https://api.spotify.com/v1/audio-analysis/01wavOnjFBNgdMWBFYIAP4,184107,4,69,2283840,"pagode,sertanejo,sertanejo_universitario"
